Date,Numbers,Mega Ball,Multiplier
09/01/2015,02 05 35 40 54,13,05
09/04/2015,17 21 39 52 57,05,05
09/08/2015,19 20 36 41 46,07,03
09/11/2015,05 11 31 50 67,14,02
09/15/2015,07 20 35 49 56,09,04
09/18/2015,17 34 35 51 65,07,03
09/22/2015,28 30 38 45 51,08,05
09/25/2015,03 08 38 51 64,04,05
09/29/2015,08 21 30 61 62,09,03
10/02/2015,04 14 29 31 47,09,02
10/06/2015,17 58 63 64 66,13,03
10/09/2015,08 09 21 63 75,14,04
10/13/2015,07 09 24 38 52,01,05
10/16/2015,02 38 48 61 68,04,03
10/20/2015,06 25 35 38 52,04,04
10/23/2015,25 32 37 45 70,01,05
10/27/2015,09 26 27 29 74,04,03
10/30/2015,17 41 51 53 56,15,05
11/03/2015,16 29 44 69 74,12,05
11/06/2015,10 31 35 50 72,08,03
11/10/2015,08 17 20 45 71,04,04
11/13/2015,17 18 31 35 59,09,05
11/17/2015,12 14 18 24 61,10,03
11/20/2015,09 12 29 37 67,15,02
11/24/2015,02 19 30 38 70,08,04
11/27/2015,16 20 39 56 59,12,03
12/01/2015,05 07 25 50 59,12,02
12/04/2015,26 42 47 61 73,06,05
12/08/2015,07 17 37 49 73,15,03
12/11/2015,14 20 43 54 69,05,04
12/15/2015,18 25 47 51 61,05,05
12/18/2015,06 23 24 28 62,07,05
12/22/2015,11 21 40 50 70,15,03
12/25/2015,15 25 29 44 51,04,04
12/29/2015,20 25 55 62 74,07,03
01/01/2016,07 18 37 38 39,09,05
01/05/2016,01 04 36 48 57,13,05
01/08/2016,11 39 51 57 75,02,05
01/12/2016,15 27 29 31 48,15,04
01/15/2016,29 41 53 54 70,12,02
01/19/2016,02 17 31 39 47,09,02
01/22/2016,21 25 40 46 56,03,05
01/26/2016,14 27 39 50 69,02,02
01/29/2016,20 28 49 51 52,06,02
02/02/2016,07 13 25 51 70,09,04
02/05/2016,04 06 23 55 75,02,03
02/09/2016,03 42 46 56 71,13,04
02/12/2016,01 07 44 68 73,01,03
02/16/2016,09 31 33 46 64,04,03
02/19/2016,02 27 41 50 75,04,04
02/23/2016,16 32 39 53 57,10,05
02/26/2016,03 15 19 62 74,14,04
03/01/2016,01 29 33 34 55,06,05
03/04/2016,21 26 33 48 73,14,04
03/08/2016,27 37 54 66 69,05,05
03/11/2016,14 18 48 54 71,13,04
03/15/2016,18 26 30 44 68,07,04
03/18/2016,05 08 57 59 73,13,05
03/22/2016,06 19 34 38 70,05,05
03/25/2016,04 11 12 35 46,12,02
03/29/2016,33 38 40 46 49,15,05
04/01/2016,25 28 33 41 69,06,02
04/05/2016,13 45 52 53 57,10,05
04/08/2016,31 38 52 65 71,15,03
04/12/2016,07 11 59 62 63,03,05
04/15/2016,09 10 34 37 73,09,05
04/19/2016,09 28 40 57 65,02,05
04/22/2016,02 19 21 42 60,13,05
04/26/2016,14 16 17 28 48,02,02
04/29/2016,05 06 37 55 74,10,05
05/03/2016,28 29 33 36 45,15,05
05/06/2016,14 26 27 32 36,07,04
05/10/2016,12 22 46 56 74,04,03
05/13/2016,20 21 38 54 66,07,04
05/17/2016,17 24 27 48 75,06,03
05/20/2016,19 24 26 40 68,08,02
05/24/2016,11 50 51 70 75,15,04
05/27/2016,18 41 50 68 70,09,03
05/31/2016,09 31 34 41 49,08,05
06/03/2016,32 54 65 66 71,10,03
06/07/2016,25 48 51 65 72,04,04
06/10/2016,34 61 66 67 68,07,05
06/14/2016,36 37 38 52 62,06,05
06/17/2016,20 23 30 44 59,09,05
06/21/2016,06 13 21 49 50,10,05
06/24/2016,11 14 54 57 63,11,05
06/28/2016,15 17 20 35 55,07,02
07/01/2016,20 41 42 45 49,14,02
07/05/2016,29 46 53 64 73,10,05
07/08/2016,08 19 20 55 73,05,02
07/12/2016,06 08 22 46 68,04,04
07/15/2016,16 51 52 56 58,04,02
07/19/2016,03 34 54 65 66,04,05
07/22/2016,08 24 25 26 30,07,04
07/26/2016,01 04 31 36 54,09,03
07/29/2016,11 16 19 31 48,04,05
08/02/2016,03 12 36 54 70,12,05
08/05/2016,05 18 28 54 74,06,04
08/09/2016,12 19 20 44 66,01,05
08/12/2016,04 41 44 56 69,10,04
08/16/2016,02 43 52 62 63,06,05
08/19/2016,22 37 45 65 73,13,05
08/23/2016,02 07 46 61 66,01,02
08/26/2016,10 11 31 41 44,14,02
08/30/2016,28 32 41 51 71,11,04
09/02/2016,22 28 41 46 60,03,03
09/06/2016,25 37 58 69 75,08,03
09/09/2016,01 34 43 44 63,11,04
09/13/2016,06 15 17 39 56,15,03
09/16/2016,13 21 28 34 40,15,03
09/20/2016,02 22 34 62 72,02,05
09/23/2016,01 05 08 25 62,14,03
09/27/2016,14 16 26 53 72,04,04
09/30/2016,21 30 47 50 57,09,05
10/04/2016,18 29 30 54 66,01,05
10/07/2016,24 37 42 50 65,14,02
10/11/2016,36 39 42 45 48,03,02
10/14/2016,07 27 60 64 74,05,03
10/18/2016,07 24 28 65 74,01,02
10/21/2016,12 43 44 48 66,03,04
